CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Ecuador,ECU,5/17/2020,3,2,32763,2688,88.1
Ecuador,ECU,5/18/2020,3,2,33182,2736,88.1
Ecuador,ECU,5/19/2020,3,2,33582,2799,88.1
Ecuador,ECU,5/20/2020,3,2,34151,2839,88.1
Egypt,EGY,3/25/2020,3,2,366,19,96.43
Egypt,EGY,3/26/2020,3,2,442,21,96.43
Egypt,EGY,3/27/2020,3,2,456,21,96.43
Egypt,EGY,3/28/2020,3,2,495,24,96.43
Egypt,EGY,3/29/2020,3,2,536,30,96.43
Egypt,EGY,3/30/2020,3,2,576,36,96.43
Egypt,EGY,3/31/2020,3,2,609,40,96.43
Egypt,EGY,4/1/2020,3,2,656,41,96.43
Egypt,EGY,4/2/2020,3,2,710,46,96.43
Egypt,EGY,4/3/2020,3,2,779,52,96.43
Egypt,EGY,4/4/2020,3,2,779,52,96.43
Egypt,EGY,4/5/2020,3,2,985,66,96.43
Egypt,EGY,4/6/2020,3,2,1070,71,96.43
Egypt,EGY,4/7/2020,3,2,1073,78,96.43
Egypt,EGY,4/8/2020,3,2,1322,85,96.43
Egypt,EGY,4/9/2020,3,2,1560,103,96.43
Egypt,EGY,4/10/2020,3,2,1699,118,96.43
Egypt,EGY,4/11/2020,3,2,1794,135,96.43
Egypt,EGY,4/12/2020,3,2,1939,146,96.43
Egypt,EGY,4/13/2020,3,2,2065,159,96.43
Egypt,EGY,4/14/2020,3,2,2190,164,96.43
Egypt,EGY,4/15/2020,3,2,2350,178,96.43
Egypt,EGY,4/16/2020,3,2,2505,183,96.43
Egypt,EGY,4/17/2020,3,2,2673,196,96.43
Egypt,EGY,4/18/2020,3,2,2844,205,96.43
Egypt,EGY,4/19/2020,3,2,3032,224,96.43
Egypt,EGY,4/20/2020,3,2,3144,239,96.43
Egypt,EGY,4/21/2020,3,2,3333,250,96.43
Egypt,EGY,4/22/2020,3,2,3490,264,96.43
Egypt,EGY,4/23/2020,3,2,3490,264,96.43
Egypt,EGY,4/24/2020,3,2,3659,276,96.43
Egypt,EGY,4/25/2020,3,2,4092,294,96.43
Egypt,EGY,4/26/2020,3,2,4319,307,96.43
Egypt,EGY,4/27/2020,3,2,4319,307,96.43
Egypt,EGY,4/28/2020,3,2,4782,337,96.43
Egypt,EGY,4/29/2020,3,2,5042,359,96.43
Egypt,EGY,4/30/2020,3,2,5268,380,96.43
Egypt,EGY,5/1/2020,3,2,5537,392,96.43
Egypt,EGY,5/2/2020,3,2,5895,406,96.43
Egypt,EGY,5/3/2020,3,2,6193,415,96.43
Egypt,EGY,5/4/2020,3,2,6465,429,96.43
Egypt,EGY,5/5/2020,3,2,6813,436,96.43
Egypt,EGY,5/6/2020,3,2,7201,452,96.43
Egypt,EGY,5/7/2020,3,2,7588,469,96.43
Egypt,EGY,5/8/2020,3,2,7981,482,96.43
Egypt,EGY,5/9/2020,3,2,8476,503,96.43
Egypt,EGY,5/10/2020,3,2,8964,514,96.43
Egypt,EGY,5/11/2020,3,2,9400,525,96.43
Egypt,EGY,5/12/2020,3,2,9746,533,96.43
Egypt,EGY,5/13/2020,3,2,10093,544,96.43
Egypt,EGY,5/14/2020,3,2,10431,556,96.43
Egypt,EGY,5/15/2020,3,2,10829,571,96.43
Egypt,EGY,5/16/2020,3,2,11228,592,96.43
Egypt,EGY,5/17/2020,3,2,11719,612,96.43
